Model,CV Accuracy,CV Precision,CV Recall,CV F1,CV ROC-AUC
Gradient Boosting,0.858437417591638,0.83057343682794,0.7035783290826185,0.76132967670078,0.8989077068650453
Logistic Regression,0.8584338215903914,0.831555287194648,0.7018123502589072,0.7608851414901914,0.9022914021685903
SVM,0.8561711376948832,0.836530592703712,0.6868652909807558,0.7539586321241113,0.8974572801546487
Random Forest,0.8493930749007104,0.8402482272094133,0.6569827652832523,0.73687538455078,0.891299210149126
Decision Tree,0.7779097643420515,0.6521457000019231,0.6640080377154339,0.6578234332973188,0.747915747894446
