variable,group,n_students,precision,recall,f1,false_negative_rate,false_positive_rate,tp,fp,tn,fn,modelo
Tuition fees up to date,0,114,0.9065420560747663,0.9897959183673469,0.9463414634146342,0.01020408163265306,0.625,97,10,6,1,Original
Tuition fees up to date,0,114,0.9074074074074074,1.0,0.9514563106796117,0.0,0.625,98,10,6,0,Mitigado
Tuition fees up to date,1,771,0.7703703703703704,0.5591397849462365,0.6479750778816199,0.44086021505376344,0.05299145299145299,104,31,554,82,Original
Tuition fees up to date,1,771,0.43799472295514513,0.8924731182795699,0.5876106194690266,0.10752688172043011,0.3641025641025641,166,213,372,20,Mitigado
