modelo,recall_gap,f1_gap,false_negative_rate_gap,false_positive_rate_gap
Original,0.21217038539553745,0.16762931587729435,0.21217038539553756,0.06547308866224968
Mitigado,0.1456389452332657,0.34023066485753056,0.14563894523326573,0.022643241767785816
