variable,n_groups,max_recall_gap,max_f1_gap,max_false_positive_rate_gap,max_false_negative_rate_gap,max_predicted_dropout_rate_gap,max_real_dropout_rate_gap
Tuition fees up to date,2,0.4306561334211104,0.2983663855330142,0.572008547008547,0.43065613342111037,0.7634992149634787,0.6184039866202471
Scholarship holder,2,0.21217038539553745,0.16762931587729435,0.06547308866224968,0.21217038539553756,0.2528694547043171,0.26436713133960843
Debtor,2,0.28713527851458887,0.13117915532794788,0.264279704590072,0.28713527851458887,0.45010482180293504,0.28595387840670855
International,2,0.3007246376811594,0.037154150197628466,0.1587573851724795,0.3007246376811594,0.19378526014148834,0.013611533984060176
Gender,2,0.02352590827873735,0.02777777777777779,0.056928236083165655,0.02352590827873735,0.17707297673493735,0.2101478093723073
