modelo,recall_gap,f1_gap,false_negative_rate_gap,false_positive_rate_gap
Original,0.6666666666666667,0.4903225806451613,0.6666666666666666,0.6897959183673469
Mitigado,0.4285714285714286,0.5887445887445887,0.42857142857142855,0.7333333333333334
