Model,Accuracy,Precision,Recall,F1,ROC-AUC,CV Accuracy,CV Precision,CV Recall,CV F1,CV ROC-AUC
Gradient Boosting,0.8598870056497175,0.8305785123966942,0.7077464788732394,0.7642585551330798,0.9077007803894916,0.858437417591638,0.83057343682794,0.7035783290826185,0.76132967670078,0.8989077068650453
Logistic Regression,0.8711864406779661,0.8632478632478633,0.7112676056338029,0.7799227799227799,0.9123995219235548,0.8584338215903914,0.831555287194648,0.7018123502589072,0.7608851414901914,0.9022914021685903
SVM,0.8621468926553673,0.8648648648648649,0.676056338028169,0.758893280632411,0.903790044761079,0.8561711376948832,0.836530592703712,0.6868652909807558,0.7539586321241113,0.8974572801546487
Random Forest,0.8587570621468926,0.8533333333333334,0.676056338028169,0.7544204322200393,0.9018478592017998,0.8493930749007104,0.8402482272094133,0.6569827652832523,0.73687538455078,0.891299210149126
Decision Tree,0.7830508474576271,0.6597222222222222,0.6690140845070423,0.6643356643356644,0.7529762602235711,0.7779097643420515,0.6521457000019231,0.6640080377154339,0.6578234332973188,0.747915747894446
