variable,group,n_students,precision,recall,f1,false_negative_rate,false_positive_rate,tp,fp,tn,fn,modelo
Scholarship holder,0,654,0.8378378378378378,0.7294117647058823,0.779874213836478,0.27058823529411763,0.09022556390977443,186,36,363,69,Original
Scholarship holder,1,231,0.75,0.5172413793103449,0.6122448979591837,0.4827586206896552,0.024752475247524754,15,5,197,14,Original
Scholarship holder,0,654,0.7580071174377224,0.8352941176470589,0.7947761194029851,0.16470588235294117,0.17042606516290726,213,68,331,42,Mitigado
Scholarship holder,1,231,0.3389830508474576,0.6896551724137931,0.45454545454545453,0.3103448275862069,0.19306930693069307,20,39,163,9,Mitigado
