variable,group,n_students,precision,recall,f1,false_negative_rate,false_positive_rate,tp,fp,tn,fn,modelo
Scholarship holder,0,654,0.8378378378378378,0.7294117647058823,0.779874213836478,0.27058823529411763,0.09022556390977443,186,36,363,69,Original
Scholarship holder,0,654,0.5635103926096998,0.9568627450980393,0.7093023255813953,0.043137254901960784,0.47368421052631576,244,189,210,11,Mitigado
Scholarship holder,1,231,0.75,0.5172413793103449,0.6122448979591838,0.4827586206896552,0.024752475247524754,15,5,197,14,Original
Scholarship holder,1,231,0.37037037037037035,0.6896551724137931,0.48192771084337355,0.3103448275862069,0.16831683168316833,20,34,168,9,Mitigado
