Variable,Importancia_SHAP
Curricular units 1st sem (approved),1.152171308113406
Tuition fees up to date,0.50144773177959
Course,0.3476321628264288
Age at enrollment,0.33766766042388247
Curricular units 1st sem (enrolled),0.27296570408074194
Curricular units 1st sem (grade),0.22524912600066052
Gender,0.18516235417050309
Scholarship holder,0.17491424617122386
Unemployment rate,0.16001138462995182
Debtor,0.15882004774663822
